Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGARIA ARAUJO S.A.;RUA CEL. PEDRO PAULO PENIDO , 128;CIDADE NOVA;Belo Horizonte;MG;-19,8903523;-43,9275683;RUA CEL. PEDRO PAULO PENIDO , 128, CIDADE NOVA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA CORAÇÃO EUCARÍSTICO DE JESUS, 139;COR EUC DE JUSUS;Belo Horizonte;MG;;;RUA CORAÇÃO EUCARÍSTICO DE JESUS, 139, COR EUC DE JUSUS, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA CURITIBA  N.2351;LOURDES;Belo Horizonte;MG;-19,9315166;-43,943439;RUA CURITIBA  N.2351, LOURDES, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA DO OURO Nº870;SERRA;Belo Horizonte;MG;-19,9405557;-43,918423;RUA DO OURO Nº870, SERRA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA DOS TUPIS N.347 LOJA 01;CENTRO;Belo Horizonte;MG;-19,9193308;-43,9403488;RUA DOS TUPIS N.347 LOJA 01, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA ESPIRITO SANTO Nº437;CENTRO;Belo Horizonte;MG;-19,9193308;-43,9403488;RUA ESPIRITO SANTO Nº437, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA GUIACUI, 660 LOJA 22;CORACAO DE JESUS;Belo Horizonte;MG;-19,9458741;-43,9512286;RUA GUIACUI, 660 LOJA 22, CORACAO DE JESUS, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA MICHEL JEHA Nº20;SAO BENTO;Belo Horizonte;MG;-19,9539087;-43,9488617;RUA MICHEL JEHA Nº20, SAO BENTO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA NIQUELINA Nº403;SANTA EFIGENIA;Belo Horizonte;MG;-19,9228011;-43,916392;RUA NIQUELINA Nº403, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA PADRE EUSTAQUIO, Nº2.208;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9143045;-43,979356;RUA PADRE EUSTAQUIO, Nº2.208, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA PADRE PEDRO PINTO Nº 1660;VENDA NOVA;Belo Horizonte;MG;-19,821125;-43,9528598;RUA PADRE PEDRO PINTO Nº 1660, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA PADRE PEDRO PINTO, 824 A;VENDA NOVA;Belo Horizonte;MG;-19,821125;-43,9528598;RUA PADRE PEDRO PINTO, 824 A, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S.A.;RUA PROFESSOR ESTEVAO PINTO Nº830;SERRA;Belo Horizonte;MG;-19,9440156;-43,9211329;RUA PROFESSOR ESTEVAO PINTO Nº830, SERRA, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S/A;AVENIDA DOM PEDRO II, Nº 1950;CARLOS PRATES;Belo Horizonte;MG;-19,9129792;-43,9486474;AVENIDA DOM PEDRO II, Nº 1950, CARLOS PRATES, Belo Horizonte, MG, Brasil
DROGARIA ARAUJO S/A;RUA MAQUINº, Nº 48;JARDIM AMERICA;Belo Horizonte;MG;-19,9437517;-43,9779752;RUA MAQUINº, Nº 48, JARDIM AMERICA, Belo Horizonte, MG, Brasil
DROGARIA BARAO LTDA ME;ARARIBA;PEDREIRA PRADO LOPES;Belo Horizonte;MG;-19,9016398;-43,9492444;ARARIBA, PEDREIRA PRADO LOPES, Belo Horizonte, MG, Brasil
DROGARIA BARREIRO LTDA - ME;DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;Belo Horizonte;MG;-19,9738684;-44,0169993;DESEMBARGADOR RIBEIRO DA LUZ, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIA BELA VITORIA LTDA;DOS BORGES;JARDIM VITORIA;Belo Horizonte;MG;-19,8412697;-43,8775352;DOS BORGES, JARDIM VITORIA, Belo Horizonte, MG, Brasil
DROGARIA BETEL LTDA - ME;MARIA DA PAZ MAIA;JARDIM DOS COMERCIARIOS (VENDA NOVA);Belo Horizonte;MG;-19,7880572;-43,976243;MARIA DA PAZ MAIA, JARDIM DOS COMERCIARIOS (VENDA NOVA), Belo Horizonte, MG, Brasil
DROGARIA CACHOEIRINHA LTDA - EPP;DESCALVADO;RENASCENCA;Belo Horizonte;MG;-19,888174;-43,9428593;DESCALVADO, RENASCENCA, Belo Horizonte, MG, Brasil
DROGARIA CAIXETA NOGUEIRA LTDA;FLOR D'AGUA;JARDIM ALVORADA;Belo Horizonte;MG;-19,8932796;-43,9897025;FLOR D'AGUA, JARDIM ALVORADA, Belo Horizonte, MG, Brasil
DROGARIA CAMAGA LTDA;ESTANCIA;NOVA VISTA;Belo Horizonte;MG;-19,8867824;-43,8966672;ESTANCIA, NOVA VISTA, Belo Horizonte, MG, Brasil
DROGARIA CAMPOS E SIMOES LTDA;AUGUSTO DOS ANJOS;RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;AUGUSTO DOS ANJOS, RIO BRANCO, Belo Horizonte, MG, Brasil
DROGARIA CAMPOS SALES LTDA - ME;CAMPOS SALES;NOVA SUISSA;Belo Horizonte;MG;-19,9274167;-43,9771468;CAMPOS SALES, NOVA SUISSA, Belo Horizonte, MG, Brasil
DROGARIA CANDI & CUNHA LTDA ME;DAVID FONSECA;MILIONARIOS (BARREIRO);Belo Horizonte;MG;-19,9805056;-44,0018307;DAVID FONSECA, MILIONARIOS (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA CAPITAL EIRELI - EPP;PRUDENTE DE MORAIS;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;PRUDENTE DE MORAIS, CIDADE JARDIM, Belo Horizonte, MG, Brasil
